DT_SIN_PRI_SEM,ANO_SIN_PRI,SEM_SIN_PRI,ANO_SEM_SIN_PRI
2022-12-25,2022,52,202252
2022-12-18,2022,51,202251
2022-12-11,2022,50,202250
2022-12-04,2022,49,202249
2022-11-27,2022,48,202248
2022-11-20,2022,47,202247
2022-11-13,2022,46,202246
2022-11-06,2022,45,202245
2022-10-30,2022,44,202244
2022-10-23,2022,43,202243
2022-10-16,2022,42,202242
2022-10-09,2022,41,202241
2022-10-02,2022,40,202240
2022-09-25,2022,39,202239
2022-09-18,2022,38,202238
2022-09-11,2022,37,202237
2022-09-04,2022,36,202236
2022-08-28,2022,35,202235
2022-08-21,2022,34,202234
2022-08-14,2022,33,202233
2022-08-07,2022,32,202232
2022-07-31,2022,31,202231
2022-07-24,2022,30,202230
2022-07-17,2022,29,202229
2022-07-10,2022,28,202228
2022-07-03,2022,27,202227
2022-06-26,2022,26,202226
2022-06-19,2022,25,202225
2022-06-12,2022,24,202224
2022-06-05,2022,23,202223
2022-05-29,2022,22,202222
2022-05-22,2022,21,202221
2022-05-15,2022,20,202220
2022-05-08,2022,19,202219
2022-05-01,2022,18,202218
2022-04-24,2022,17,202217
2022-04-17,2022,16,202216
2022-04-10,2022,15,202215
2022-04-03,2022,14,202214
2022-03-27,2022,13,202213
2022-03-20,2022,12,202212
2022-03-13,2022,11,202211
2022-03-06,2022,10,202210
2022-02-27,2022,9,202209
2022-02-20,2022,8,202208
2022-02-13,2022,7,202207
2022-02-06,2022,6,202206
2022-01-30,2022,5,202205
2022-01-23,2022,4,202204
2022-01-16,2022,3,202203
2022-01-09,2022,2,202202
2022-01-02,2022,1,202201
2023-12-24,2023,52,202352
2023-12-17,2023,51,202351
2023-12-10,2023,50,202350
2023-12-03,2023,49,202349
2023-11-26,2023,48,202348
2023-11-19,2023,47,202347
2023-11-12,2023,46,202346
2023-11-05,2023,45,202345
2023-10-29,2023,44,202344
2023-10-22,2023,43,202343
2023-10-15,2023,42,202342
2023-10-08,2023,41,202341
2023-10-01,2023,40,202340
2023-09-24,2023,39,202339
2023-09-17,2023,38,202338
2023-09-10,2023,37,202337
2023-09-03,2023,36,202336
2023-08-27,2023,35,202335
2023-08-20,2023,34,202334
2023-08-13,2023,33,202333
2023-08-06,2023,32,202332
2023-07-30,2023,31,202331
2023-07-23,2023,30,202330
2023-07-16,2023,29,202329
2023-07-09,2023,28,202328
2023-07-02,2023,27,202327
2023-06-25,2023,26,202326
2023-06-18,2023,25,202325
2023-06-11,2023,24,202324
2023-06-04,2023,23,202323
2023-05-28,2023,22,202322
2023-05-21,2023,21,202321
2023-05-14,2023,20,202320
2023-05-07,2023,19,202319
2023-04-30,2023,18,202318
2023-04-23,2023,17,202317
2023-04-16,2023,16,202316
2023-04-09,2023,15,202315
2023-04-02,2023,14,202314
2023-03-26,2023,13,202313
2023-03-19,2023,12,202312
2023-03-12,2023,11,202311
2023-03-05,2023,10,202310
2023-02-26,2023,9,202309
2023-02-19,2023,8,202308
2023-02-12,2023,7,202307
2023-02-05,2023,6,202306
2023-01-29,2023,5,202305
2023-01-22,2023,4,202304
2023-01-15,2023,3,202303
2023-01-08,2023,2,202302
2023-01-01,2023,1,202301
2024-08-11,2024,32,202432
2024-08-04,2024,31,202431
2024-07-28,2024,30,202430
2024-07-21,2024,29,202429
2024-07-14,2024,28,202428
2024-07-07,2024,27,202427
2024-06-30,2024,26,202426
2024-06-23,2024,25,202425
2024-06-16,2024,24,202424
2024-06-09,2024,23,202423
2024-06-02,2024,22,202422
2024-05-26,2024,21,202421
2024-05-19,2024,20,202420
2024-05-12,2024,19,202419
2024-05-05,2024,18,202418
2024-04-28,2024,17,202417
2024-04-21,2024,16,202416
2024-04-14,2024,15,202415
2024-04-07,2024,14,202414
2024-03-31,2024,13,202413
2024-03-24,2024,12,202412
2024-03-17,2024,11,202411
2024-03-10,2024,10,202410
2024-03-03,2024,9,202409
2024-02-25,2024,8,202408
2024-02-18,2024,7,202407
2024-02-11,2024,6,202406
2024-02-04,2024,5,202405
2024-01-28,2024,4,202404
2024-01-21,2024,3,202403
2024-01-14,2024,2,202402
2024-01-07,2024,1,202401
2023-12-31,2023,53,202353
